#srv_dead	#srv	%fail	#fail	#requests
0	247	0.0	0	721000
1	247	0.1694868238557559	1222	721000
2	247	0.34368932038834954	2478	721000
3	247	0.48474341192787795	3495	721000
4	247	0.6585298196948682	4748	721000
5	247	0.8375866851595007	6039	721000
6	247	0.9593619972260748	6917	721000
7	247	1.1364771151178918	8194	721000
8	247	1.3323162274618585	9606	721000
9	247	1.4816920943134535	10683	721000
10	247	1.6184466019417476	11669	721000
11	247	1.783356449375867	12858	721000
12	247	2.0447988904299583	14743	721000
13	247	2.1968099861303743	15839	721000
14	247	2.371012482662968	17095	721000
15	247	2.552149791955617	18401	721000
16	247	2.7409153952843273	19762	721000
17	247	2.9106796116504854	20986	721000
18	247	3.126490984743412	22542	721000
19	247	3.19625520110957	23045	721000
20	247	3.38876560332871	24433	721000
21	247	3.592094313453537	25899	721000
22	247	3.7932038834951456	27349	721000
23	247	4.002773925104022	28860	721000
24	247	4.194452149791956	30242	721000
61	247	11.846740638002775	85415	721000
123	247	29.995700416088766	216269	721000

