#srv_dead	#srv	%fail	#fail	#requests
0	247	0.0	0	721000
1	247	0.08099861303744799	584	721000
2	247	0.15769764216366158	1137	721000
3	247	0.22330097087378642	1610	721000
4	247	0.3216366158113731	2319	721000
5	247	0.3990291262135922	2877	721000
6	247	0.47794729542302355	3446	721000
7	247	0.5552011095700417	4003	721000
8	247	0.6503467406380028	4689	721000
9	247	0.7166435506241331	5167	721000
10	247	0.8026352288488211	5787	721000
11	247	0.8986130374479889	6479	721000
12	247	0.9895977808599168	7135	721000
13	247	1.1079056865464632	7988	721000
14	247	1.1919556171983356	8594	721000
15	247	1.2527045769764216	9032	721000
16	247	1.3601941747572817	9807	721000
17	247	1.4628294036061027	10547	721000
18	247	1.5737864077669903	11347	721000
19	247	1.655617198335645	11937	721000
20	247	1.7484049930651873	12606	721000
21	247	1.8011095700416089	12986	721000
22	247	1.9349514563106796	13951	721000
23	247	2.111789181692094	15226	721000
24	247	2.1431345353675453	15452	721000
61	247	6.931622746185853	49977	721000
123	247	20.489597780859917	147730	721000

