# Extinction sequence for 120 applications  and 47 platforms.
# This is the data and average for 250 different extinction sequences.
0	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120.0	47
1	120	112	116	117	120	119	114	120	116	110	120	117	112	119	112	120	120	120	110	118	119	120	119	117	120	120	119	119	120	117	120	120	112	120	120	120	120	119	120	116	117	120	120	117	117	120	116	116	120	117	120	120	120	118	110	120	119	118	120	112	112	119	118	116	119	119	120	112	117	117	118	117	120	111	119	117	120	117	120	117	120	112	117	117	118	117	118	120	118	120	117	120	120	114	119	118	117	119	116	112	116	116	111	120	120	119	120	119	120	118	116	120	119	111	119	119	119	118	112	119	115	118	115	116	119	112	117	112	117	120	117	118	111	119	120	111	111	112	120	112	111	112	120	118	120	118	120	119	112	120	112	120	119	119	120	120	120	120	119	120	113	120	116	116	116	120	112	120	118	120	118	115	120	120	111	118	112	112	112	120	117	111	118	115	119	120	120	117	114	119	119	120	120	116	120	120	120	118	119	117	120	120	119	117	111	116	120	120	120	118	116	117	119	111	118	120	112	116	117	120	120	120	118	110	116	116	116	113	115	120	116	117	113	116	120	119	116	112	120	120	112	119	117	120	120	116	120	117	112	112	117.26	46
2	117	110	114	115	120	116	112	120	113	108	118	110	109	119	112	111	120	118	102	118	116	112	117	115	119	119	119	119	118	110	115	119	110	120	119	120	120	119	120	110	108	117	117	117	117	120	112	113	120	117	112	120	119	108	108	119	119	116	119	112	103	118	113	114	119	119	119	112	117	107	110	117	120	111	118	108	120	109	117	117	116	112	117	107	118	113	114	114	108	120	117	119	117	110	118	118	107	117	115	111	106	116	110	116	111	118	120	116	119	117	116	116	118	103	116	119	119	118	102	119	115	117	111	115	119	110	116	111	116	111	109	115	105	110	115	107	108	110	120	104	110	106	119	116	117	116	120	119	112	119	112	119	118	111	115	120	112	110	111	116	113	119	114	116	115	119	108	120	118	119	112	114	117	119	111	117	112	112	112	117	117	109	118	114	116	119	117	114	110	117	119	119	118	116	120	119	118	116	117	114	116	120	115	117	107	116	112	120	120	114	115	115	119	111	118	118	111	107	107	120	120	119	118	110	107	113	116	109	115	118	116	109	113	112	119	113	114	111	120	118	110	119	115	120	120	116	112	114	108	108	114.808	45
3	108	107	112	114	118	107	112	120	110	99	118	102	102	116	110	109	118	118	98	112	116	112	117	115	117	116	118	111	118	108	115	118	110	118	119	120	120	109	120	110	108	113	109	117	113	120	103	110	113	117	112	120	112	99	100	119	119	110	117	111	99	117	113	111	116	115	119	109	113	107	101	117	113	111	118	103	120	109	117	117	114	107	113	105	110	113	110	113	106	119	117	117	113	110	114	118	107	116	107	109	104	113	104	116	108	117	120	113	115	117	116	108	116	102	115	112	115	112	102	117	114	117	111	114	115	106	116	108	116	109	109	113	104	107	114	107	108	101	115	101	110	98	118	116	110	116	116	116	102	110	111	118	110	111	112	120	110	110	101	116	112	119	113	113	115	118	106	112	118	118	111	108	117	119	111	116	109	104	111	116	111	108	117	106	116	118	111	112	110	114	119	116	118	109	117	116	113	116	117	113	116	118	107	117	107	113	111	120	120	111	105	115	118	107	118	112	111	107	104	120	120	116	118	110	107	112	115	109	113	114	116	109	111	112	110	110	110	110	113	118	107	118	115	112	112	107	112	110	108	99	112.292	44
4	106	104	106	111	114	99	112	120	110	91	117	99	93	115	110	108	111	115	98	111	112	109	117	115	116	114	118	108	110	108	115	118	109	117	114	120	120	109	118	109	99	113	106	113	111	117	95	110	111	117	112	118	103	97	99	115	117	109	116	111	97	117	106	109	115	115	118	107	110	98	101	114	113	107	110	99	120	105	117	113	114	103	112	104	107	113	100	113	103	115	114	117	112	108	111	114	107	116	107	109	102	113	100	112	107	110	120	109	111	116	116	108	116	99	108	110	105	111	96	109	112	115	107	110	110	106	114	105	116	106	106	112	104	107	111	107	102	101	115	97	110	88	115	115	101	116	116	116	93	110	109	118	110	111	112	120	110	105	98	115	112	115	107	112	115	118	98	103	109	118	111	108	117	119	111	112	100	102	107	116	103	108	113	98	116	118	110	109	110	113	119	109	117	109	114	114	112	115	117	112	114	110	99	115	107	113	104	120	120	103	102	105	118	107	114	103	108	106	95	116	118	116	114	107	107	102	114	106	112	113	108	109	111	112	108	107	109	107	112	113	99	110	115	103	102	104	106	109	106	99	109.668	43
5	106	104	106	101	104	91	105	117	100	86	116	95	90	108	109	108	111	115	98	111	106	109	108	115	113	113	116	99	107	108	114	110	101	117	114	117	120	109	118	109	94	105	106	112	106	116	92	108	111	117	112	117	103	91	98	107	113	106	108	107	97	116	105	105	113	115	115	107	109	95	101	113	107	103	109	99	119	105	115	110	114	100	112	104	107	112	99	111	103	115	109	115	111	103	111	114	107	108	104	104	94	103	98	104	100	107	116	107	103	114	109	108	116	98	100	110	104	111	88	107	112	115	99	110	110	106	110	105	113	106	106	112	103	106	111	105	98	101	115	95	108	86	114	107	101	109	115	116	88	106	104	118	110	107	112	117	110	98	98	108	109	107	104	112	115	114	96	103	108	118	111	105	109	119	111	112	98	102	104	114	99	105	113	96	112	115	107	101	108	110	119	107	110	109	114	114	111	112	116	112	106	106	99	115	100	113	103	120	119	102	102	98	118	107	112	96	106	102	91	116	108	113	114	104	97	102	111	97	112	113	106	108	108	106	100	107	109	107	104	110	99	107	111	93	102	102	106	100	102	95	107.064	42
6	102	104	97	97	95	91	105	117	97	86	116	94	90	108	109	107	111	113	98	101	104	109	104	115	105	113	116	95	107	104	113	110	100	116	111	113	112	106	115	108	93	105	105	112	103	112	84	107	110	114	104	114	100	83	96	106	112	106	99	103	97	116	101	105	112	115	111	106	100	95	99	113	105	95	109	99	111	97	110	108	114	99	110	103	107	112	96	111	101	112	106	115	110	94	111	114	107	107	104	104	94	101	94	98	99	99	107	101	101	114	101	107	112	98	99	101	104	111	87	105	110	110	91	110	110	106	103	104	110	106	102	109	95	102	111	98	95	101	107	91	108	86	109	103	97	108	112	116	87	100	104	113	107	104	111	107	102	98	98	106	106	106	103	112	115	109	86	93	105	118	111	102	101	115	103	110	98	99	104	112	96	105	113	93	104	115	107	101	108	109	119	107	110	108	111	112	110	110	115	112	106	105	98	107	97	111	103	119	117	102	99	95	114	107	107	96	106	102	89	114	105	105	111	104	96	94	103	96	110	113	106	99	106	106	90	107	108	107	95	106	90	105	110	90	101	101	105	95	102	87	104.492	41
7	101	104	97	97	87	89	101	108	97	85	115	89	87	108	109	99	111	109	97	101	101	108	104	115	102	105	106	87	101	103	113	110	91	116	111	111	109	103	106	108	93	101	105	110	103	104	77	104	107	114	104	114	92	83	96	103	104	103	96	101	95	113	97	105	112	115	103	97	95	95	90	107	103	95	106	93	111	89	110	105	106	96	109	95	106	109	88	111	98	103	103	115	107	84	109	110	107	98	101	103	92	101	94	97	93	90	107	96	101	106	98	103	110	94	95	101	104	110	87	105	109	108	88	107	109	102	103	95	101	105	94	109	95	102	111	95	90	93	105	91	100	86	106	103	94	108	108	112	86	96	104	110	103	99	104	107	100	98	96	104	102	106	95	110	115	109	84	84	95	118	107	102	101	114	100	110	96	91	100	112	93	98	113	85	102	115	107	101	107	109	119	106	110	106	111	111	106	101	115	108	106	105	98	103	97	105	103	119	115	102	99	95	113	100	99	88	105	102	88	114	105	105	109	98	96	93	103	96	107	112	105	99	98	103	85	105	105	105	94	98	86	105	102	87	101	98	103	93	102	85	101.768	40
8	92	104	95	94	86	88	99	105	94	84	106	79	87	107	106	91	111	104	97	101	101	108	104	115	100	103	103	87	97	103	110	109	91	116	111	111	109	96	105	108	93	92	104	110	100	104	74	104	106	107	96	114	90	83	96	103	104	103	90	98	95	104	95	96	112	106	95	96	86	95	90	105	103	94	97	93	107	79	109	104	97	94	108	95	106	109	82	111	95	99	102	111	104	80	99	110	107	91	101	103	89	93	94	96	93	87	103	88	101	97	96	103	107	84	95	100	102	108	84	95	109	104	88	99	108	102	95	85	99	105	88	105	92	102	111	86	86	93	102	88	100	81	106	99	91	105	105	102	86	96	98	110	101	99	104	107	98	98	87	104	102	104	94	100	106	105	83	84	91	109	107	100	101	114	96	108	96	90	92	104	91	98	110	85	97	113	106	101	104	106	116	102	107	106	111	111	96	93	111	100	104	99	97	102	97	102	103	118	112	102	99	93	113	98	99	88	102	102	81	113	97	105	101	95	95	93	103	95	105	105	105	97	98	103	79	103	105	105	91	98	82	105	100	86	100	98	103	91	99	83	99.164	39
9	89	103	93	86	86	88	99	104	94	84	106	79	84	105	105	91	109	95	96	101	98	102	104	109	100	103	95	85	89	103	110	101	91	108	108	110	107	94	105	106	92	92	104	106	100	104	71	95	106	105	90	113	90	80	91	101	101	99	90	95	87	100	95	95	112	104	92	89	82	95	82	102	102	90	93	93	106	79	105	104	88	92	108	88	106	103	82	107	92	89	94	109	104	77	91	108	99	91	99	103	88	91	91	94	88	79	103	86	100	94	96	103	105	77	93	100	102	101	81	95	108	95	88	99	106	102	95	81	97	105	88	96	84	100	111	86	84	93	98	88	99	79	106	96	91	105	105	102	86	94	95	107	93	96	103	105	98	97	87	100	102	104	87	97	103	102	82	84	83	105	105	100	101	111	94	98	94	88	92	97	91	95	109	83	96	113	98	94	102	106	112	99	107	103	109	107	96	89	108	100	95	99	97	102	97	100	97	118	112	102	98	92	113	96	96	79	102	102	81	106	94	101	98	87	92	88	103	95	99	101	102	95	95	103	72	103	97	98	88	98	79	99	97	84	100	98	94	91	99	80	96.648	38
