#srv_dead	#srv	%fail	#fail	#requests
129	1988	1.8566179879462217	160189	8628000
130	1988	1.8905192396847474	163114	8628000
131	1988	1.8981223922114048	163770	8628000
132	1988	1.9112656467315716	164904	8628000
133	1988	1.9266921650440427	166235	8628000
134	1988	1.938340287436254	167240	8628000
135	1988	1.9413189615206305	167497	8628000
136	1988	1.9783495595734817	170692	8628000
137	1988	1.9801692165044043	170849	8628000
138	1988	1.9980180806675938	172389	8628000
139	1988	2.009527121001391	173382	8628000
140	1988	2.0270282800185444	174892	8628000
141	1988	2.029717199814557	175124	8628000
142	1988	2.0713375057950856	178715	8628000
143	1988	2.0780598052851182	179295	8628000
144	1988	2.1015646731571627	181323	8628000
145	1988	2.0928952248493276	180575	8628000
146	1988	2.1166434863235977	182624	8628000
147	1988	2.136103384330088	184303	8628000
148	1988	2.1568961520630507	186097	8628000
149	1988	2.1882823365785815	188805	8628000
150	1988	2.1778975428836347	187909	8628000
151	1988	2.1953639313861846	189416	8628000
152	1988	2.208437644877144	190544	8628000
153	1988	2.2239337042188225	191881	8628000
154	1988	2.2457116365322207	193760	8628000
155	1988	2.2519471488178024	194298	8628000
156	1988	2.2806675938803895	196776	8628000
157	1988	2.28317107093185	196992	8628000
158	1988	2.31419796012981	199669	8628000
159	1988	2.3183008808530365	200023	8628000
160	1988	2.3392906815020864	201834	8628000
161	1988	2.359272137227631	203558	8628000
162	1988	2.3804937413073715	205389	8628000
163	1988	2.383901251738526	205683	8628000
164	1988	2.392489568845619	206424	8628000
165	1988	2.4192628650904036	208734	8628000
166	1988	2.4372739916550765	210288	8628000
167	1988	2.4517501159017154	211537	8628000
168	1988	2.457811775614279	212060	8628000
169	1988	2.4845039406583216	214363	8628000
170	1988	2.4923736671302734	215042	8628000
171	1988	2.5230528511821975	217689	8628000
172	1988	2.5295317570700044	218248	8628000
173	1988	2.5479253592953177	219835	8628000
174	1988	2.5567222994900325	220594	8628000
175	1988	2.585234121464998	223054	8628000
176	1988	2.597531293463143	224115	8628000
177	1988	2.604299953639314	224699	8628000
178	1988	2.6384793694946684	227648	8628000
179	1988	2.6509503940658323	228724	8628000
180	1988	2.651553082985628	228776	8628000
181	1988	2.6752086230876215	230817	8628000
182	1988	2.694077422345851	232445	8628000
183	1988	2.7067222994900324	233536	8628000
184	1988	2.7024455261937876	233167	8628000
185	1988	2.7381548446917012	236248	8628000
186	1988	2.767941585535466	238818	8628000
187	1988	2.7721256374594345	239179	8628000
188	1988	2.7806675938803895	239916	8628000
189	1988	2.8104079740380157	242482	8628000
190	1988	2.815125173852573	242889	8628000
191	1988	2.8309689383402876	244256	8628000
192	1988	2.856432545201669	246453	8628000
193	1988	2.861404728789986	246882	8628000
194	1988	2.8843069077422347	248858	8628000
195	1988	2.8922229949003246	249541	8628000
196	1988	2.91746638850255	251719	8628000
197	1988	2.9186601761706075	251822	8628000
198	1988	2.9340403337969403	253149	8628000
199	1988	2.972821047751507	256495	8628000
200	1988	2.983089939731108	257381	8628000
201	1988	2.9848632359758924	257534	8628000
202	1988	2.9895804357904496	257941	8628000
203	1988	3.029694019471488	261402	8628000
204	1988	3.049849327770051	263141	8628000
205	1988	3.0545085767269358	263543	8628000
206	1988	3.0786161335187763	265623	8628000
207	1988	3.1008460825220214	267541	8628000
208	1988	3.1192628650904033	269130	8628000
209	1988	3.125695410292072	269685	8628000
210	1988	3.138108484005563	270756	8628000
211	1988	3.161080203987019	272738	8628000
212	1988	3.1705146036161334	273552	8628000
213	1988	3.198690310616597	275983	8628000
214	1988	3.196210013908206	275769	8628000
215	1988	3.2255099675475196	278297	8628000
216	1988	3.2381780250347707	279390	8628000
217	1988	3.258344923504868	281130	8628000
218	1988	3.2870305980528514	283605	8628000
219	1988	3.2964186369958277	284415	8628000
220	1988	3.3155192396847473	286063	8628000
221	1988	3.332637923041261	287540	8628000
222	1988	3.332765414928141	287551	8628000
223	1988	3.3637227630968938	290222	8628000
224	1988	3.366261010662958	290441	8628000
225	1988	3.3954914232730644	292963	8628000
226	1988	3.3941585535465926	292848	8628000
227	1988	3.4125521557719054	294435	8628000
228	1988	3.4452943903569775	297260	8628000
229	1988	3.4558878071395456	298174	8628000
230	1988	3.468196569309226	299236	8628000
231	1988	3.5027584608252202	302218	8628000
232	1988	3.516527584608252	303406	8628000
233	1988	3.522206768660176	303896	8628000
234	1988	3.5472763096893836	306059	8628000
235	1988	3.5717199814557254	308168	8628000
236	1988	3.552619378766806	306520	8628000
237	1988	3.5987366713027353	310499	8628000
238	1988	3.6168289290681503	312060	8628000
239	1988	3.630192396847473	313213	8628000
240	1988	3.6454218822438573	314527	8628000
241	1988	3.6769819193324063	317250	8628000
242	1988	3.6749652294853963	317076	8628000
243	1988	3.6995248029670837	319195	8628000
244	1988	3.7015762633286973	319372	8628000
245	1988	3.7253940658321745	321427	8628000
246	1988	3.7540565600370885	323900	8628000
247	1988	3.750023180343069	323552	8628000
248	1988	3.7839360222531293	326478	8628000
249	1988	3.79560732498841	327485	8628000
250	1988	3.8206189151599443	329643	8628000
251	1988	3.8248377375985165	330007	8628000
252	1988	3.847821047751507	331990	8628000
253	1988	3.861601761706073	333179	8628000
254	1988	3.887517385257302	335415	8628000
255	1988	3.8893602225312933	335574	8628000
256	1988	3.911277236903106	337465	8628000
257	1988	3.9377955493741306	339753	8628000
258	1988	3.947693555864627	340607	8628000
259	1988	3.957858136300417	341484	8628000
260	1988	3.9796012980992117	343360	8628000
261	1988	3.999397311080204	345068	8628000
262	1988	4.020618915159944	346899	8628000
263	1988	4.027851182197496	347523	8628000
264	1988	4.048794622160408	349330	8628000
265	1988	4.061636532220676	350438	8628000
266	1988	4.099710245711637	353723	8628000
267	1988	4.104172461752434	354108	8628000
268	1988	4.121696801112656	355620	8628000
269	1988	4.140136764024107	357211	8628000
270	1988	4.148864163189615	357964	8628000
271	1988	4.168810848400557	359685	8628000
272	1988	4.200208623087621	362394	8628000
273	1988	4.184156235512286	361009	8628000
274	1988	4.2329044969865555	365215	8628000
275	1988	4.242547519703292	366047	8628000
276	1988	4.255285118219749	367146	8628000
277	1988	4.288734353268429	370032	8628000
278	1988	4.308959202596198	371777	8628000
279	1988	4.3302619378766805	373615	8628000
280	1988	4.313433008808531	372163	8628000
281	1988	4.339847009735744	374442	8628000
282	1988	4.372693555864627	377276	8628000
283	1988	4.383298562818729	378191	8628000
284	1988	4.403198887343533	379908	8628000
285	1988	4.415739452943903	380990	8628000
286	1988	4.45727862772369	384574	8628000
287	1988	4.449629114510895	383914	8628000
288	1988	4.460987482614743	384894	8628000
289	1988	4.498157162726009	388101	8628000
290	1988	4.519413537320353	389935	8628000
291	1988	4.513317107093185	389409	8628000
292	1988	4.545178488641632	392158	8628000
293	1988	4.577700509967547	394964	8628000
294	1988	4.597056096430227	396634	8628000
295	1988	4.598609179415855	396768	8628000
296	1988	4.591075567918405	396118	8628000
297	1988	4.633646267964766	399791	8628000
298	1988	4.643683356513677	400657	8628000
299	1988	4.67601993509504	403447	8628000
300	1988	4.692292535929532	404851	8628000
301	1988	4.727433936022253	407883	8628000
302	1988	4.728801576263328	408001	8628000
303	1988	4.740275846082522	408991	8628000
304	1988	4.75967779323134	410665	8628000
305	1988	4.78531525266574	412877	8628000
306	1988	4.788444598980065	413147	8628000
307	1988	4.821534538711173	416002	8628000
308	1988	4.846047751506722	418117	8628000
309	1988	4.863803894297636	419649	8628000
310	1988	4.846383866481224	418146	8628000
311	1988	4.884921186833565	421471	8628000
312	1988	4.924802967083913	424912	8628000
313	1988	4.918266110338433	424348	8628000
314	1988	4.946036161335188	426744	8628000
315	1988	4.952433936022254	427296	8628000
316	1988	4.986764024107557	430258	8628000
317	1988	4.986833565136764	430264	8628000
318	1988	5.018880389429763	433029	8628000
319	1988	5.02901019935095	433903	8628000
320	1988	5.057081594807603	436325	8628000
321	1988	5.064731108020399	436985	8628000
322	1988	5.081583217431618	438439	8628000
323	1988	5.121152063050533	441853	8628000
324	1988	5.13202364394993	442791	8628000
325	1988	5.111277236903106	441001	8628000
326	1988	5.158321743161799	445060	8628000
327	1988	5.172032916087158	446243	8628000
328	1988	5.188966156699119	447704	8628000
329	1988	5.214383402874363	449897	8628000
330	1988	5.215101993509504	449959	8628000
331	1988	5.26128882707464	453944	8628000
332	1988	5.270074177097821	454702	8628000
333	1988	5.280656003708855	455615	8628000
334	1988	5.3141747797867405	458507	8628000
335	1988	5.307301808066759	457914	8628000
336	1988	5.335825220213259	460375	8628000
337	1988	5.372415391747798	463532	8628000
338	1988	5.379230412610107	464120	8628000
339	1988	5.397229949003245	465673	8628000
340	1988	5.421244784422809	467745	8628000
341	1988	5.431977283263793	468671	8628000
342	1988	5.451645804357905	470368	8628000
343	1988	5.484921186833565	473239	8628000
344	1988	5.468034306907742	471782	8628000
345	1988	5.509144645340751	475329	8628000
346	1988	5.524235048678721	476631	8628000
347	1988	5.542570700046361	478213	8628000
348	1988	5.559840055632823	479703	8628000
349	1988	5.594019471488178	482652	8628000
350	1988	5.591875289754288	482467	8628000
351	1988	5.618289290681502	484746	8628000
352	1988	5.63907046824293	486539	8628000
353	1988	5.676703755215577	489786	8628000
354	1988	5.689464534075104	490887	8628000
355	1988	5.683159480760315	490343	8628000
356	1988	5.715994436717663	493176	8628000
357	1988	5.742350486787204	495450	8628000
358	1988	5.757719054242003	496776	8628000
359	1988	5.756606397774687	496680	8628000
360	1988	5.783993973110802	499043	8628000
361	1988	5.81772137227631	501953	8628000
362	1988	5.822913769123783	502401	8628000
363	1988	5.853082985628188	505004	8628000
364	1988	5.841759388038943	504027	8628000
365	1988	5.886578581363004	507894	8628000
366	1988	5.9142095503013445	510278	8628000
367	1988	5.912413073713491	510123	8628000
368	1988	5.966330551692165	514775	8628000
369	1988	5.967675011590171	514891	8628000
370	1988	5.966179879462216	514762	8628000
371	1988	5.999501622624015	517637	8628000
372	1988	6.027851182197496	520083	8628000
373	1988	6.030968938340288	520352	8628000
374	1988	6.064394993045897	523236	8628000
375	1988	6.089626796476588	525413	8628000
376	1988	6.112273991655076	527367	8628000
377	1988	6.118857209086695	527935	8628000
378	1988	6.12586926286509	528540	8628000
379	1988	6.157498840982846	531269	8628000
380	1988	6.179624478442281	533178	8628000
381	1988	6.206548446917014	535501	8628000
382	1988	6.205006954102921	535368	8628000
383	1988	6.248551228558183	539125	8628000
384	1988	6.23353036624942	537829	8628000
385	1988	6.276900788131664	541571	8628000
386	1988	6.29586230876217	543207	8628000
387	1988	6.2970908669448304	543313	8628000
388	1988	6.3332985628187295	546437	8628000
389	1988	6.347160407974038	547633	8628000
390	1988	6.3915739452943905	551465	8628000
391	1988	6.383020398701901	550727	8628000
392	1988	6.39471488178025	551736	8628000
393	1988	6.449976819656931	556504	8628000
394	1988	6.457858136300417	557184	8628000
395	1988	6.456965693092258	557107	8628000
396	1988	6.479995363931386	559094	8628000
397	1988	6.514823829392675	562099	8628000
398	1988	6.529114510894761	563332	8628000
399	1988	6.522450162262402	562757	8628000
400	1988	6.558089939731108	565832	8628000
401	1988	6.5733310152990265	567147	8628000
402	1988	6.582475660639777	567936	8628000
403	1988	6.599791376912378	569430	8628000
404	1988	6.616318961520631	570856	8628000
405	1988	6.654844691701437	574180	8628000
406	1988	6.678314789058878	576205	8628000
407	1988	6.688653222067686	577097	8628000
408	1988	6.732487250811312	580879	8628000
409	1988	6.731305053314789	580777	8628000
410	1988	6.763827074640704	583583	8628000
411	1988	6.767373667130274	583889	8628000
412	1988	6.776657394529439	584690	8628000
413	1988	6.8248725081131205	588850	8628000
414	1988	6.832997218358832	589551	8628000
415	1988	6.839383402874363	590102	8628000
416	1988	6.874860917941586	593163	8628000
417	1988	6.896198423736672	595004	8628000
418	1988	6.922612424663885	597283	8628000
419	1988	6.935419564209551	598388	8628000
420	1988	6.95150672229949	599776	8628000
421	1988	6.978106165971257	602071	8628000
422	1988	6.992246175243394	603291	8628000
423	1988	7.005447380621233	604430	8628000
424	1988	7.0464765878535	607970	8628000
425	1988	7.059955957348169	609133	8628000
426	1988	7.0813977746870655	610983	8628000
427	1988	7.085245711636532	611315	8628000
428	1988	7.120711636532221	614375	8628000
429	1988	7.132116365322207	615359	8628000
430	1988	7.154995363931386	617333	8628000
431	1988	7.16871812702828	618517	8628000
432	1988	7.219680111265647	622914	8628000
433	1988	7.198562818729717	621092	8628000
434	1988	7.25099675475197	625616	8628000
435	1988	7.252723690310616	625765	8628000
436	1988	7.3132475660639775	630987	8628000
437	1988	7.285245711636533	628571	8628000
438	1988	7.3217431617987945	631720	8628000
439	1988	7.328720445062587	632322	8628000
440	1988	7.374408901251739	636264	8628000
441	1988	7.366214649976819	635557	8628000
442	1988	7.405945757997219	638985	8628000
443	1988	7.439476124246639	641878	8628000
444	1988	7.431316643486324	641174	8628000
445	1988	7.491504404265183	646367	8628000
446	1988	7.485732498840983	645869	8628000
447	1988	7.524339360222531	649200	8628000
448	1988	7.5314093648586	649810	8628000
449	1988	7.55188919796013	651577	8628000
450	1988	7.577399165507649	653778	8628000
451	1988	7.615113583681039	657032	8628000
452	1988	7.6164464534075105	657147	8628000
453	1988	7.636984237366713	658919	8628000
454	1988	7.664082058414465	661257	8628000
455	1988	7.677990264255911	662457	8628000
456	1988	7.689800649049606	663476	8628000
457	1988	7.7279207232267035	666765	8628000
458	1988	7.72124478442281	666189	8628000
459	1988	7.732649513212795	667173	8628000
460	1988	7.78393602225313	671598	8628000
461	1988	7.801947148817803	673152	8628000
462	1988	7.809921186833565	673840	8628000
463	1988	7.838734353268428	676326	8628000
464	1988	7.858286972647195	678013	8628000
465	1988	7.872032916087158	679199	8628000
466	1988	7.8825336114974505	680105	8628000
467	1988	7.915901715345387	682984	8628000
468	1988	7.960651367640241	686845	8628000
469	1988	7.969158553546593	687579	8628000
470	1988	7.981305053314789	688627	8628000
471	1988	8.011277236903107	691213	8628000
472	1988	8.033820120537785	693158	8628000
473	1988	8.051912378303198	694719	8628000
474	1988	8.070201668984701	696297	8628000
475	1988	8.105273528048215	699323	8628000
476	1988	8.123597589244321	700904	8628000
477	1988	8.12185906351414	700754	8628000
478	1988	8.13138618451553	701576	8628000
479	1988	8.158947612424663	703954	8628000
480	1988	8.178465461288827	705638	8628000
