#srv_dead	#srv	%fail	#fail	#requests
0	838	0.0	0	2501000
5	838	0.24390243902439024	6100	2501000
10	838	0.47177129148340663	11799	2501000
15	838	0.711515393842463	17795	2501000
20	838	0.9649740103958416	24134	2501000
25	838	1.2130347860855657	30338	2501000
30	838	1.4614154338264693	36550	2501000
35	838	1.707796881247501	42712	2501000
40	838	1.9886845261895243	49737	2501000
45	838	2.227828868452619	55718	2501000
50	838	2.4854858056777287	62162	2501000
55	838	2.7351459416233506	68406	2501000
60	838	3.022311075569772	75588	2501000
65	838	3.2852858856457416	82165	2501000
70	838	3.531027588964414	88311	2501000
75	838	3.795121951219512	94916	2501000
80	838	4.131787285085966	103336	2501000
209	838	12.190283886445421	304879	2501000
419	838	30.231827269092364	756098	2501000

