#srv_dead	#srv	%fail	#fail	#requests
0	50	0.0	0	244000
1	50	1.269672131147541	3098	244000
2	50	2.460245901639344	6003	244000
3	50	3.793032786885246	9255	244000
4	50	5.173360655737705	12623	244000
5	50	6.31188524590164	15401	244000
12	50	16.259836065573772	39674	244000
25	50	38.386475409836066	93663	244000

