# Extinction sequence for 120 applications  and 47 platforms.
# This is the data and average for 250 different extinction sequences.
0	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120.0	47
1	120	120	120	120	120	120	118	118	119	120	120	118	120	120	120	120	120	119	118	118	117	120	120	119	120	120	117	119	120	119	120	120	117	120	120	120	120	119	119	117	120	119	117	119	120	120	119	120	119	119	119	120	114	119	120	119	120	117	117	120	115	120	118	119	120	120	117	113	120	119	120	120	120	120	120	120	119	115	117	120	120	120	120	115	119	120	120	115	120	120	114	120	119	120	120	117	120	119	120	117	119	120	119	120	120	120	118	119	120	119	120	120	120	119	119	120	120	120	120	114	118	120	119	120	115	117	120	118	120	120	117	120	120	120	115	120	120	118	119	120	114	120	120	120	120	118	119	119	117	120	120	120	118	118	118	120	120	119	120	119	120	115	119	120	120	120	118	119	120	120	120	114	120	120	120	120	118	119	120	120	117	120	119	120	117	120	118	118	119	120	120	115	120	119	119	119	119	120	114	120	120	120	111	120	119	119	120	120	120	120	120	119	120	119	120	120	118	120	119	119	120	119	120	120	120	111	120	120	120	120	119	119	117	119	120	120	119	120	120	120	120	120	120	115	111	120	120	119	120	111	118.932	46
2	119	119	119	118	120	119	115	118	119	119	119	118	120	120	119	113	120	109	118	117	117	118	118	118	119	115	111	116	113	119	119	119	117	120	119	120	119	119	117	117	120	117	117	119	114	120	118	120	114	113	119	120	114	119	120	118	120	116	117	120	105	120	117	118	119	120	117	110	119	118	120	119	118	120	115	120	117	114	112	119	120	120	119	115	116	118	120	112	120	120	114	119	119	120	120	117	120	119	118	117	118	120	117	119	120	120	118	118	113	119	120	119	117	117	110	117	119	119	120	114	117	118	117	118	115	117	119	118	119	115	116	119	120	118	115	120	120	111	117	120	114	119	120	120	120	118	118	119	116	115	120	120	118	117	118	118	120	119	120	118	117	115	115	120	118	111	114	119	119	120	120	111	120	120	119	114	117	117	120	119	117	120	119	120	117	120	118	117	118	119	120	113	120	119	116	119	118	115	112	119	115	118	111	119	116	119	120	120	117	120	117	116	118	118	119	120	118	120	118	116	118	116	114	120	119	107	115	117	119	120	119	118	116	119	119	120	118	120	118	120	120	120	117	115	110	119	119	116	117	111	117.62	45
3	119	116	119	115	120	118	115	118	117	119	112	118	119	120	119	113	117	109	113	116	117	118	117	113	119	115	111	113	112	119	119	118	117	119	119	120	118	118	117	117	120	116	116	116	112	118	118	120	114	112	119	120	114	119	119	118	118	113	107	119	105	118	117	118	116	115	117	108	119	111	111	119	113	120	115	118	116	114	111	117	119	119	119	114	115	115	120	111	120	120	113	119	119	120	120	117	120	119	118	116	118	111	117	118	114	117	118	118	113	116	118	118	112	112	103	117	119	119	119	113	117	118	116	112	115	115	118	117	116	115	116	118	120	111	115	119	118	111	116	119	113	112	120	120	115	118	118	110	115	115	118	119	118	117	116	117	120	119	120	118	116	115	115	119	118	111	109	113	119	119	114	108	120	120	118	114	116	117	120	119	111	120	119	120	116	119	118	116	118	119	118	112	120	112	114	119	118	115	107	119	115	117	111	118	114	119	119	119	117	120	111	116	118	115	119	119	118	120	114	108	117	116	113	119	118	107	113	115	119	115	119	118	116	116	116	117	117	119	117	120	120	119	116	113	110	119	119	116	116	111	116.32	44
4	119	115	119	115	119	118	115	112	117	118	112	118	118	118	119	113	115	109	113	115	114	118	117	113	119	115	110	113	103	117	118	118	117	113	119	119	118	118	117	116	120	114	116	116	111	116	113	120	112	109	112	119	112	115	117	114	118	107	107	119	105	117	117	118	116	115	117	107	119	110	111	118	113	115	115	117	116	114	111	116	118	118	113	114	113	113	119	111	120	120	112	118	110	120	120	117	120	119	118	114	109	108	117	118	114	117	108	117	112	116	118	118	111	112	101	116	119	118	119	110	116	117	116	109	114	114	118	110	114	115	116	117	120	110	113	119	115	111	115	119	113	112	117	120	109	116	118	109	113	110	117	119	118	117	116	116	119	119	111	117	115	115	115	119	118	111	106	111	119	119	114	106	114	117	116	113	114	117	120	119	111	119	118	120	116	118	117	116	113	118	111	112	119	110	114	119	118	113	106	119	115	116	111	118	114	119	114	118	117	119	111	116	118	115	119	119	118	120	114	107	116	111	110	110	118	104	113	115	119	111	118	117	116	116	114	117	117	119	117	120	119	118	111	113	110	119	114	116	115	111	115.116	43
5	118	115	119	114	119	118	115	105	116	117	105	117	118	118	118	113	115	109	113	114	113	118	117	113	119	114	110	113	103	117	117	118	116	110	117	119	118	118	117	110	120	113	114	116	104	116	113	115	112	107	110	119	111	115	116	114	117	105	107	119	102	108	117	118	116	114	117	106	118	110	111	117	113	111	115	117	113	114	111	116	117	116	110	104	113	113	115	107	120	113	112	118	107	119	119	112	120	116	117	113	106	101	115	117	113	117	108	117	110	116	118	117	111	109	101	111	117	115	116	110	116	112	112	109	112	113	118	109	114	114	116	107	120	110	112	118	115	111	115	118	103	111	115	119	108	116	116	109	110	110	116	118	118	109	116	116	117	119	108	116	115	112	115	119	116	111	95	111	119	119	112	104	112	117	116	113	109	117	120	118	110	119	109	120	110	118	117	116	112	118	110	112	116	110	112	118	118	113	105	119	115	114	111	118	114	118	111	117	116	119	110	115	118	115	116	116	118	119	107	107	116	109	110	110	118	104	113	115	119	111	118	117	113	116	113	117	117	114	117	114	116	116	101	113	103	116	114	116	115	110	113.736	42
6	118	109	115	113	118	117	111	105	115	110	102	117	118	118	118	113	115	109	110	114	112	117	117	113	115	113	109	113	103	117	117	115	116	110	116	119	118	114	114	110	119	113	112	114	104	116	113	115	112	107	108	116	110	115	116	114	117	105	100	119	102	108	117	118	109	111	117	106	118	109	111	117	113	110	115	117	113	113	111	111	115	116	110	104	113	112	109	107	120	113	107	118	105	119	118	112	119	116	115	107	105	96	112	115	112	115	108	116	108	115	118	116	111	109	101	111	115	115	115	110	114	112	112	107	103	113	118	107	114	114	115	105	119	110	111	112	113	110	112	116	100	111	113	118	108	116	116	109	105	110	116	117	109	109	109	109	116	119	107	116	114	111	106	117	111	111	95	111	119	119	109	100	112	117	115	113	108	117	120	117	110	112	108	119	109	117	116	116	111	117	110	112	113	109	112	115	118	113	105	118	108	114	110	117	114	115	111	114	116	116	109	114	117	113	113	116	115	118	107	107	116	109	109	105	118	104	112	114	119	110	113	113	113	112	109	112	116	114	117	113	115	115	99	112	103	115	114	116	115	109	112.436	41
7	108	104	115	113	117	113	110	103	115	108	102	116	118	118	117	110	115	109	110	114	112	115	116	113	115	113	109	112	102	117	117	115	114	110	115	119	114	113	107	110	119	112	112	105	104	116	112	114	112	106	108	113	110	115	111	114	117	105	98	117	102	101	116	118	107	111	116	103	117	109	106	116	112	110	112	110	103	113	111	110	110	112	105	101	113	112	108	101	120	113	106	113	105	116	112	111	119	113	114	107	104	96	112	110	109	114	108	116	108	113	111	116	111	107	101	110	115	108	114	100	113	109	112	104	103	110	118	107	113	113	114	105	117	108	111	111	112	109	105	116	96	106	106	117	108	116	113	109	98	110	115	114	109	108	108	108	116	118	107	116	114	110	106	112	111	110	93	110	116	118	108	99	111	116	113	112	101	117	119	117	109	112	106	118	109	116	116	110	110	110	109	111	113	109	111	113	116	113	105	117	108	107	109	115	114	114	110	114	115	115	109	114	116	113	113	113	115	118	102	104	113	108	102	104	118	100	110	113	118	105	113	112	113	112	103	112	116	114	116	113	115	106	99	111	100	115	111	114	113	109	110.84	40
8	105	104	114	113	117	112	110	103	109	103	97	116	118	117	117	107	115	102	109	113	105	115	116	113	114	112	106	112	102	117	116	109	114	110	106	118	114	112	107	110	119	112	111	101	104	114	112	114	112	106	106	113	109	111	108	114	117	105	98	112	99	99	116	117	107	111	116	103	116	108	106	115	112	110	112	110	103	113	111	109	107	110	105	94	113	111	108	97	117	113	106	112	105	115	112	104	119	104	114	106	104	90	109	110	109	112	105	113	106	105	110	116	111	107	101	110	115	106	114	100	106	109	112	104	97	110	117	106	113	113	112	105	113	108	111	110	112	108	100	109	95	105	104	117	108	115	113	108	98	107	115	113	106	108	107	107	116	118	106	111	114	108	106	106	110	110	93	109	109	118	107	98	111	115	113	110	101	114	118	117	109	112	106	111	109	116	115	110	100	110	109	111	111	102	107	112	113	112	104	117	107	107	109	114	113	114	110	112	115	115	104	113	116	113	110	113	114	118	102	104	113	107	102	104	115	100	110	112	118	105	111	102	111	112	97	111	116	114	113	113	115	105	99	111	98	110	102	114	111	109	109.452	39
9	105	104	114	113	117	112	110	103	106	103	97	114	118	108	112	107	114	102	106	105	105	114	115	112	114	112	104	108	102	111	116	106	114	110	102	116	111	112	107	105	113	112	107	101	104	114	109	114	112	105	105	113	106	107	108	114	117	98	98	111	99	99	116	117	107	110	115	99	112	106	105	115	112	110	112	110	101	108	111	102	106	100	105	93	112	110	108	94	117	113	104	112	105	115	111	99	116	103	114	106	103	90	108	103	109	106	102	113	105	105	109	116	111	107	100	108	115	99	113	100	106	106	112	104	94	109	116	105	113	113	111	105	113	101	110	110	107	108	99	108	95	105	104	117	107	115	104	105	97	104	113	113	105	108	107	107	115	118	106	111	114	108	105	105	109	110	93	109	109	118	107	98	110	115	110	110	97	114	117	117	109	111	102	110	109	113	114	110	100	110	106	111	110	96	107	112	112	108	104	110	107	104	107	112	113	114	110	106	112	113	104	113	115	111	107	113	113	118	102	103	113	107	100	98	110	99	110	112	118	102	104	99	106	111	97	111	115	113	113	112	105	100	99	111	93	101	102	113	110	109	108.0	38
