# Extinction sequence for 84 applications  and 29 platforms.
# This is the data and average for 50 different extinction sequences.
0	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84.0	29
1	84	79	84	84	84	84	84	79	84	84	84	84	84	84	84	84	84	82	84	84	84	84	84	82	79	84	82	84	84	84	84	84	84	83	84	84	83	84	81	84	84	84	84	83	84	84	84	82	83	84	83.4	28
2	81	78	84	84	82	84	84	79	81	84	84	84	84	81	84	84	84	80	81	84	83	84	84	82	75	82	81	84	83	83	81	84	83	83	84	81	83	83	81	83	82	83	84	78	84	84	84	79	83	84	82.46	27
3	81	77	84	84	82	84	84	78	81	84	84	84	84	79	81	84	84	80	81	79	83	83	82	78	75	82	79	84	83	83	81	84	83	80	83	81	83	83	81	83	82	82	82	78	84	84	81	79	83	84	81.84	26
4	81	77	82	84	82	81	79	77	81	84	84	80	83	76	79	84	84	80	81	79	83	83	76	73	75	81	76	84	82	83	80	84	83	77	79	78	83	83	81	83	82	82	81	72	83	84	73	78	80	84	80.48	25
5	81	77	82	83	82	78	75	77	81	84	84	80	82	76	76	81	84	80	80	79	82	83	68	72	74	81	74	82	82	77	80	83	80	77	77	78	80	82	80	80	82	82	79	72	82	84	73	78	80	84	79.4	24
6	79	77	82	82	82	78	75	77	80	84	79	75	82	72	76	80	79	77	80	79	82	82	68	72	74	81	68	79	77	73	80	83	73	75	70	78	80	80	76	80	76	82	79	71	82	84	72	72	80	84	77.76	23
7	79	76	81	82	82	70	75	77	80	81	78	73	82	66	76	80	79	75	80	78	82	82	67	72	69	80	68	78	77	73	79	83	71	73	67	69	80	80	76	79	68	82	78	70	79	84	72	71	80	82	76.42	22
8	78	76	81	81	77	70	74	77	80	81	78	70	82	66	76	77	79	73	80	73	82	82	63	69	69	77	68	73	72	69	79	78	71	73	64	68	80	80	75	79	67	82	78	69	78	84	72	71	80	82	75.26	21
9	78	75	81	81	77	70	69	76	80	81	77	69	77	66	76	76	79	73	80	67	79	82	57	69	69	70	68	72	72	69	79	70	71	72	64	65	72	76	75	79	66	81	78	69	78	83	72	69	71	82	73.74	20
10	78	75	81	77	77	69	69	76	80	78	77	69	76	63	75	75	75	64	76	59	74	81	57	68	66	70	67	69	66	69	77	70	70	71	64	65	72	71	75	77	66	81	78	69	78	83	66	69	71	77	72.12	19
11	78	72	81	75	72	68	66	76	74	78	74	61	76	62	68	75	75	57	68	59	64	79	56	67	66	59	67	69	66	69	76	68	69	71	64	65	66	71	67	77	66	81	77	66	78	80	64	69	66	76	69.88	18
12	78	72	81	75	72	68	61	70	69	76	71	54	70	62	66	75	74	57	68	58	63	79	55	66	66	58	60	59	66	68	68	68	69	71	63	56	66	63	64	77	65	76	77	62	78	79	64	69	66	75	67.86	17
13	78	69	76	75	72	68	59	69	62	76	63	53	69	61	64	75	73	57	58	57	50	78	49	58	65	58	59	59	59	67	68	64	68	71	60	56	56	59	63	77	65	75	72	60	78	79	64	66	66	74	65.54	16
14	73	69	73	75	72	59	59	65	57	76	61	53	69	61	57	73	73	56	56	57	50	71	49	58	63	56	48	49	59	66	68	64	67	71	60	45	55	58	56	77	65	75	71	60	78	78	64	65	62	72	63.48	15
15	72	69	68	75	71	58	59	65	51	70	59	53	69	59	48	69	71	56	55	55	50	71	41	58	62	55	47	44	59	61	62	64	67	71	60	44	55	48	56	77	64	68	71	50	78	68	56	56	62	72	60.98	14
16	64	65	68	75	68	58	56	64	51	59	48	53	60	58	48	69	67	46	51	54	49	69	41	53	55	55	43	44	59	53	62	64	67	71	51	42	51	44	56	76	63	64	71	44	70	68	55	56	61	71	58.2	13
17	64	65	67	75	56	54	55	61	51	57	48	49	52	58	48	61	67	41	50	54	49	69	41	53	54	51	43	34	56	52	54	63	58	71	51	42	49	44	56	73	63	57	64	44	70	68	55	46	61	68	55.84	12
18	64	57	67	75	54	52	53	61	51	55	46	48	44	54	48	61	67	41	41	54	43	66	40	50	52	43	43	32	48	39	44	52	57	71	51	42	49	31	54	73	63	54	64	44	70	68	55	46	52	67	53.12	11
19	55	57	67	74	54	52	52	59	43	52	46	41	42	53	48	61	57	39	25	42	42	66	40	50	40	42	42	32	47	39	30	52	57	71	39	31	49	31	54	73	63	54	64	32	67	68	41	40	51	61	49.74	10
20	54	57	57	66	51	52	49	59	41	52	46	41	37	53	44	61	57	39	25	38	29	59	32	48	40	42	42	32	45	39	30	52	53	71	32	30	49	30	53	71	54	53	64	32	59	68	41	37	51	61	47.56	9
