Step 32	0.0	C 290377	1259	1200	59	0	S 1986	293	262	31	0	
Step 33	0.0	C 286954	1268	1212	56	0	S 2073	292	256	36	0	
Step 34	0.0	C 288759	1275	1216	59	0	S 2025	286	262	24	0	
Step 35	0.0	C 269668	1215	1179	36	0	S 2095	304	266	38	0	
Step 36	0.0	C 282831	1208	1147	61	0	S 2156	310	284	26	0	
Step 37	0.0	C 293238	1249	1212	37	0	S 2078	303	260	43	0	
Step 38	0.0	C 285762	1215	1173	42	0	S 2128	297	268	29	0	
Step 39	0.0	C 276792	1195	1158	37	0	S 2101	292	258	34	0	
Step 40	0.0	C 295363	1254	1205	49	0	S 2066	300	262	38	0	
Step 41	0.0	C 292586	1234	1189	45	0	S 1876	275	246	29	0	
Step 42	0.0	C 274270	1217	1172	45	0	S 1941	284	243	41	0	
Step 43	0.0	C 282935	1174	1128	46	0	S 2039	293	251	42	0	
Step 44	0.0	C 304638	1263	1213	50	0	S 2090	308	275	33	0	
Step 45	0.0	C 294203	1235	1192	43	0	S 2053	309	275	34	0	
Step 46	0.0	C 282177	1222	1172	50	0	S 2097	302	263	39	0	
Step 47	0.0	C 298065	1291	1234	57	0	S 2036	296	256	40	0	
