#srv_dead	#srv	%fail	#fail	#requests
0	247	0.0	0	721000
1	247	0.07253814147018031	523	721000
2	247	0.16282940360610262	1174	721000
3	247	0.23703190013869627	1709	721000
4	247	0.3452149791955617	2489	721000
5	247	0.4212205270457698	3037	721000
6	247	0.480998613037448	3468	721000
7	247	0.5905686546463246	4258	721000
8	247	0.6807212205270458	4908	721000
9	247	0.777115117891817	5603	721000
10	247	0.8332871012482663	6008	721000
11	247	0.9597780859916782	6920	721000
12	247	1.022746185852982	7374	721000
13	247	1.1117891816920944	8016	721000
14	247	1.19875173370319	8643	721000
15	247	1.3410540915395284	9669	721000
16	247	1.3980582524271845	10080	721000
17	247	1.5309292649098474	11038	721000
18	247	1.6019417475728155	11550	721000
19	247	1.7016643550624133	12269	721000
20	247	1.8221914008321776	13138	721000
21	247	1.9339805825242717	13944	721000
22	247	1.9877947295423024	14332	721000
23	247	2.127045769764216	15336	721000
24	247	2.239528432732316	16147	721000
61	247	7.105547850208044	51231	721000
123	247	20.75991678224688	149679	721000

